SubAreaId,timestamp,airTemperature,surfaceTemperature,waterThickness,friction
302,11/5/2016 0:00,-1.82360515,-0.355600858,0.127276824,0.699248927
302,11/5/2016 2:00,-1.496766744,0.242771363,0.160187067,0.543002309
104,11/5/2016 2:00,-1.080753701,0.238761777,0.266343203,0.275006729
501,11/5/2016 0:00,-2.5256,-2.64784,0.09828,0.71088
501,11/5/2016 2:00,-1.481873112,-0.822311178,0.24665861,0.399093656
303,11/5/2016 2:00,-1.535497835,-0.269350649,0.122714286,0.704025974
304,11/5/2016 0:00,-3.004255319,-2.313723404,0.11762234,0.70356383
601,11/5/2016 0:00,-1.799440299,-1.024067164,0.108942164,0.682313433
305,11/5/2016 0:00,-2.715789474,-1.978421053,0.104625,0.707960526
305,11/5/2016 2:00,-1.497802198,-0.582197802,0.128135531,0.69956044
701,11/5/2016 0:00,-2.364747121,-1.391637456,0.189462193,0.369218828
602,11/5/2016 0:00,-2.094323144,-0.336803493,0.219537118,0.377292576
702,11/5/2016 0:00,-2.43245614,-2.332324561,0.133842105,0.691710526
101,11/5/2016 2:00,-0.847619048,0.670544218,0.124492063,0.683968254
101,11/5/2016 4:00,-1.077647059,0.408117647,0.146682353,0.698470588
102,11/5/2016 2:00,-0.987318841,1.103822464,0.10321558,0.700923913
102,11/5/2016 4:00,-0.888852726,1.285183076,0.119081367,0.698234337
103,11/5/2016 2:00,-0.997822706,0.194510109,0.185199067,0.688491446
103,11/5/2016 4:00,-1.155128205,0.48025641,0.119923077,0.705
301,11/5/2016 2:00,-0.62972973,0.36445045,0.131594595,0.557891892
301,11/5/2016 4:00,-1,0.487234043,0.088340426,0.70893617
104,11/5/2016 2:00,-1.081467181,0.549227799,0.142177606,0.631312741
104,11/5/2016 4:00,-1.208856683,0.578904992,0.119710145,0.706296296
302,11/5/2016 2:00,-0.4744,0.55756,0.203112,0.521
302,11/5/2016 4:00,-0.936065574,0.364016393,0.102581967,0.678442623
401,11/5/2016 4:00,-1.14893617,-0.266329787,0.109404255,0.699521277
105,11/5/2016 2:00,-0.866969353,0.168933031,0.176450624,0.435913734
303,11/5/2016 2:00,-0.425581395,0.496511628,0.082348837,0.709302326
